pfp;block;year;quart;screen;tile;category;fact;plan;fact_prev;mera;color1;proc1;text1;color2;proc2;text2;color3;color4;val4;isParent;addClass
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;121.2;113.5;+6.8%;млрд. руб;;;;;;;;;;parent;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Персонал ;84.7;76.8;+10.3%;млрд. руб;;;;;;;;;;child;staff_click
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;11.2;11.4;-1.8%;млрд. руб;;;;;;;;;;child;prop_click
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ИТ;10.4;10.3;+1.0%;млрд. руб;;;;;;;;;;child;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;5.1;4.7;+8.5%;млрд. руб;;;;;;;;;;child;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Налоги;3.7;3.8;-2.6%;млрд. руб;;;;;;;;;;child;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Благотворительность;0.9;0.6;+50.0%;млрд. руб;;;;;;;;;;child;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Транспорт;1.0;1.0;0%;млрд. руб;;;;;;;;;;child;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Маркетинг;0.5;0.3;+66.6%;млрд. руб;;;;;;;;;;child;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прочее;3.1;4.6;-32.6%;млрд. руб;;;;;;;;;;child;
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Аллокация;-;-;-;млрд. руб;;;;;;;;;;parent;allokaciya_click
Факт;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ДЗО;31.9;32.0;-0.3%;млрд. руб;;;;;;;;;;parent;
Факт;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;555.5;544.6;+2.0%;млрд. руб;;;;;;;;;;parent;
Факт;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Персонал ;328.8;324.0;+1.4%;млрд. руб;;;;;;;;;;child;staff_click
Факт;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;50.8;52.5;-3.2%;млрд. руб;;;;;;;;;;child;prop_click
Факт;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;ИТ;43.3;64.0;-32.3%;млрд. руб;;;;;;;;;;child;
Факт;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;25.0;32.2;-22.3%;млрд. руб;;;;;;;;;;child;
Факт;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Налоги;25.7;26.9;-4.4%;млрд. руб;;;;;;;;;;child;
Факт;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Благотворительность;5.1;0.9;+466.6%;млрд. руб;;;;;;;;;;child;
Факт;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Транспорт;5.0;5.6;-10.7%;млрд. руб;;;;;;;;;;child;
Факт;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Маркетинг;6.6;5.5;+20.0%;млрд. руб;;;;;;;;;;child;
Факт;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Прочее;65.1;27.7;+135.0%;млрд. руб;;;;;;;;;;child;
Факт;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Аллокация;-;-;-;млрд. руб;;;;;;;;;;parent;allokaciya_click
Факт;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;ДЗО;136.6;123.8;+10.3%;млрд. руб;;;;;;;;;;parent;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;11.1;9.9;+12.1%;млрд. руб;;;;;;;;;;parent;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Персонал ;9.8;8.7;+12.6%;млрд. руб;;;;;;;;;;child;staff_click
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;0.9;0.9;0%;млрд. руб;;;;;;;;;;child;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ИТ;0.1;0.1;0%;млрд. руб;;;;;;;;;;child;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;0.1;0.1;0%;млрд. руб;;;;;;;;;;child;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Налоги;0.1;0.1;0%;млрд. руб;;;;;;;;;;child;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прочее;0.1;0.1;0%;млрд. руб;;;;;;;;;;child;
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Аллокация;23.9;-;-;млрд. руб;;;;;;;;;;parent;allokaciya_click
Факт;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ДЗО;1.2;0.6;+100%;млрд. руб;;;;;;;;;;parent;
Факт;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;46.7;44.0;+6.1%;млрд. руб;;;;;;;;;;parent;
Факт;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Персонал ;37.4;36.4;+2.7%;млрд. руб;;;;;;;;;;child;staff_click
Факт;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;1.2;1.0;+20%;млрд. руб;;;;;;;;;;child;
Факт;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;ИТ;0.3;0.6;-50.0%;млрд. руб;;;;;;;;;;child;
Факт;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;0.4;0.7;-42.8%;млрд. руб;;;;;;;;;;child;
Факт;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Налоги;0.9;-0.2;-550.0%;млрд. руб;;;;;;;;;;child;
Факт;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Прочее;6.5;6.4;+1.5%;млрд. руб;;;;;;;;;;child;
Факт;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Аллокация;-;-;-;млрд. руб;;;;;;;;;;parent;allokaciya_click
Факт;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;ДЗО;4.3;3.8;+13.1%;млрд. руб;;;;;;;;;;parent;
План;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;121.2;129.8;-6.6%;млрд. руб;;;;;;;;;;parent;
План;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Персонал ;84.7;84.5;+0.2%;млрд. руб;;;;;;;;;;child;staff_click
План;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;11.2;12.3;-8.9%;млрд. руб;;;;;;;;;;child;prop_click
План;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ИТ;10.4;12.4;-16.1%;млрд. руб;;;;;;;;;;child;
План;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;5.1;5.1;0%;млрд. руб;;;;;;;;;;child;
План;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Налоги;3.7;4.3;-13.9%;млрд. руб;;;;;;;;;;child;
План;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Благотворительность;0.9;1.3;-30.7%;млрд. руб;;;;;;;;;;child;
План;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Транспорт;1.0;1.1;-9.1%;млрд. руб;;;;;;;;;;child;
План;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Маркетинг;0.5;0.7;-28.5%;млрд. руб;;;;;;;;;;child;
План;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прочее;3.1;7.2;-56.9%;млрд. руб;;;;;;;;;;child;
План;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Аллокация;-;-;-;млрд. руб;;;;;;;;;;parent;allokaciya_click
План;все;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ДЗО;31.9;32.1;-0.6%;млрд. руб;;;;;;;;;;parent;
План;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;555.5;572.7;-3.0%;млрд. руб;;;;;;;;;;parent;
План;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Персонал ;328.8;329.1;-0.1%;млрд. руб;;;;;;;;;;child;staff_click
План;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;50.8;52.6;-3.4%;млрд. руб;;;;;;;;;;child;prop_click
План;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;ИТ;43.3;56.9;-23.9%;млрд. руб;;;;;;;;;;child;
План;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;25.0;26.3;-4.9%;млрд. руб;;;;;;;;;;child;
План;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Налоги;25.7;27.2;-5.5%;млрд. руб;;;;;;;;;;child;
План;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Благотворительность;5.1;5.1;0%;млрд. руб;;;;;;;;;;child;
План;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Транспорт;5.0;5.0;0%;млрд. руб;;;;;;;;;;child;
План;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Маркетинг;6.6;7.4;-10.8%;млрд. руб;;;;;;;;;;child;
План;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Прочее;65.1;62.9;+3.4%;млрд. руб;;;;;;;;;;child;
План;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Аллокация;-;-;-;млрд. руб;;;;;;;;;;parent;allokaciya_click
План;все;42018;42018;плитка 2 OPEX;Категории расходов OPEX;ДЗО;136.6;127.2;+7.4%;млрд. руб;;;;;;;;;;parent;
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;11.1;11.6;-4.3%;млрд. руб;;;;;;;;;;parent;
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Персонал ;9.8;10.2;-3.9%;млрд. руб;;;;;;;;;;child;staff_click
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;0.9;0.5;+80.0%;млрд. руб;;;;;;;;;;child;
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ИТ;0.1;0.1;0%;млрд. руб;;;;;;;;;;child;
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;0.1;0.2;-50.0%;млрд. руб;;;;;;;;;;child;
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Налоги;0.1;0.2;-50.0%;млрд. руб;;;;;;;;;;child;
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Прочее;0.1;0.4;-75.0%;млрд. руб;;;;;;;;;;child;
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;Аллокация;-;-;-;млрд. руб;;;;;;;;;;parent;allokaciya_click
План;КБ;12018;12018;плитка 2 OPEX;Категории расходов OPEX;ДЗО;1.1;1.3;-15.3%;млрд. руб;;;;;;;;;;parent;
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Прямые расходы;46.7;45.7;+2.1%;млрд. руб;;;;;;;;;;parent;
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Персонал ;37.4;38.3;-2.3%;млрд. руб;;;;;;;;;;child;staff_click
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Недвижимость;1.2;0.2;+500.0%;млрд. руб;;;;;;;;;;child;
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;ИТ;0.3;0.6;-50.0%;млрд. руб;;;;;;;;;;child;
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Бизнес-расходы;0.4;0.5;-20.0%;млрд. руб;;;;;;;;;;child;
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Налоги;0.9;0.6;+50.0%;млрд. руб;;;;;;;;;;child;
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Прочее;6.5;5.4;+20.3%;млрд. руб;;;;;;;;;;child;
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;Аллокация;-;-;-;млрд. руб;;;;;;;;;;parent;allokaciya_click
План;КБ;42018;42018;плитка 2 OPEX;Категории расходов OPEX;ДЗО;4.3;5.5;-21.8%;млрд. руб;;;;;;;;;;parent;
