pfp;block;year;quart;category;radius;title;text;lat;long;;абсолют;%;бабл;;
План;Все;42017;42017;Карта OPEX по ТБ;40;Подразделения ЦА;Центральный Аппарат: 551.6 млрд.руб;55.629177;37.633741;;551.6;;40;;
План;КБ;42017;42017;Карта OPEX по ТБ;0;Подразделения ЦА;Центральный Аппарат;55.629177;37.633741;;0;;0;;
План;Все;12018;12018;Карта OPEX по ТБ;30;Подразделения ЦА;Центральный Аппарат: 21.9 млрд.руб;55.829703;37.662334;;21.9;;30;;
План;Все;12018;12018;Карта OPEX по ТБ;7;Байкальский банк;Байкальский банк: 4.7 млрд.руб;70.111249;138.336540;;4.7;;7;;
План;Все;12018;12018;Карта OPEX по ТБ;15;Волго-Вятский банк;Волго-Вятский банк: 10.9 млрд.руб;55.670318;47.881094;;10.9;;15;;
План;Все;12018;12018;Карта OPEX по ТБ;7;Дальневосточный банк;Дальневосточный банк: 5 млрд.руб;55.3425;138.8416;;5;;7;;
План;Все;12018;12018;Карта OPEX по ТБ;7;Западно-Сибирский банк;Западно-Сибирский банк: 5 млрд.руб;63.555525;71.550048;;5;;7;;
План;Все;12018;12018;Карта OPEX по ТБ;22;Московский банк;Московский банк: 15.6 млрд.руб;55.829703;55.829703;;15.6;;22;;
План;Все;12018;12018;Карта OPEX по ТБ;12;Поволжский банк;Поволжский банк: 8.6 млрд.руб;55.829703;37.662334;;8.6;;12;;
План;Все;12018;12018;Карта OPEX по ТБ;18;Северо-Западный банк;Северо-Западный банк: 12.7 млрд.руб;50.822803;44.838229;;12.7;;18;;
План;Все;12018;12018;Карта OPEX по ТБ;13;Сибирский банк;Сибирский банк: 9 млрд.руб;67.690249;48.818185;;9;;13;;
План;Все;12018;12018;Карта OPEX по ТБ;18;Среднерусский банк;Среднерусский банк: 12.9 млрд.руб;67.381542;33.467618;;12.9;;18;;
План;Все;12018;12018;Карта OPEX по ТБ;12;Уральский банк;Уральский банк: 8.3 млрд.руб;64.869264;93.719162;;8.3;;12;;
План;Все;12018;12018;Карта OPEX по ТБ;8;Центрально-Черноземный банк;Центрально-Черноземный банк: 5.5 млрд.руб;54.817428;33.854468;;5.5;;8;;
План;Все;12018;12018;Карта OPEX по ТБ;13;Юго-Западный банк;Юго-Западный банк: 9.6 млрд.руб;56.607673;59.689390;;9.6;;13;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Подразделения ЦА;Центральный Аппарат;55.829703;37.662334;;0;;0;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Байкальский банк;Байкальский банк;70.111249;138.336540;;0;;0;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Волго-Вятский банк;Волго-Вятский банк;55.670318;47.881094;;0;;0;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Дальневосточный банк;Дальневосточный банк;55.3425;138.8416;;0;;0;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Западно-Сибирский банк;Западно-Сибирский банк;63.555525;71.550048;;0;;0;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Московский банк;Московский банк;55.829703;55.829703;;0;;0;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Поволжский банк;Поволжский банк;55.829703;37.662334;;0;;0;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Северо-Западный банк;Северо-Западный банк;50.822803;44.838229;;0;;0;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Сибирский банк;Сибирский банк;67.690249;48.818185;;0;;0;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Среднерусский банк;Среднерусский банк;67.381542;33.467618;;0;;0;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Уральский банк;Уральский банк;64.869264;93.719162;;0;;0;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Центрально-Черноземный банк;Центрально-Черноземный банк;54.817428;33.854468;;0;;0;;
План;КБ;12018;12018;Карта OPEX по ТБ;0;Юго-Западный банк;Юго-Западный банк;56.607673;59.689390;;0;;0;;
Факт;Все;42017;42017;Карта OPEX по ТБ;30;Подразделения ЦА;Центральный Аппарат: 90.5 млрд.руб;55.629177;37.633741;; 90.5 ;;30;;
Факт;Все;42017;42017;Карта OPEX по ТБ;6;Байкальский банк;Байкальский банк: 19.5млрд.руб;70.111249;138.336540;;19.5;;6;;
Факт;Все;42017;42017;Карта OPEX по ТБ;14;Волго-Вятский банк;Волго-Вятский банк: 46.9 млрд.руб;55.670318;47.881094;;46.9;;14;;
Факт;Все;42017;42017;Карта OPEX по ТБ;6;Дальневосточный банк;Дальневосточный банк: 21.6 млрд.руб;55.3425;138.8416;;21.6;;6;;
Факт;Все;42017;42017;Карта OPEX по ТБ;7;Западно-Сибирский банк;Западно-Сибирский банк: 22.3 млрд.руб;63.555525;71.550048;;22.3;;7;;
Факт;Все;42017;42017;Карта OPEX по ТБ;0;Западно-Уральский банк;Западно-Уральский банк;61.540537;52.971007;;0;;0;;
Факт;Все;42017;42017;Карта OPEX по ТБ;19;Московский банк;Московский банк: 63.9 млрд.руб;55.829703;37.662334;;63.4;;19;;
Факт;Все;42017;42017;Карта OPEX по ТБ;11;Поволжский банк;Поволжский банк: 37.3 млрд.руб;50.822803;44.838229;;37.3;;11;;
Факт;Все;42017;42017;Карта OPEX по ТБ;0;Северный банк;Северный банк;67.690249;48.818185;;0;;0;;
Факт;Все;42017;42017;Карта OPEX по ТБ;16;Северо-Западный банк;Северо-Западный банк: 52.4 млрд.руб;67.381542;33.467618;;52.4;;16;;
Факт;Все;42017;42017;Карта OPEX по ТБ;11;Сибирский банк;Сибирский банк: 37.1 млрд.руб;64.869264;93.719162;;37.1;;11;;
Факт;Все;42017;42017;Карта OPEX по ТБ;16;Среднерусский банк;Среднерусский банк: 54.2 млрд.руб;54.817428;33.854468;;54.2;;16;;
Факт;Все;42017;42017;Карта OPEX по ТБ;11;Уральский банк;Уральский банк: 35.1 млрд.руб;56.607673;59.689390;;35.1;;11;;
Факт;Все;42017;42017;Карта OPEX по ТБ;7;Центрально-Черноземный банк;Центрально-Черноземный банк: 23.5 млрд.руб;52.636269;39.100789;;23.5;;7;;
Факт;Все;42017;42017;Карта OPEX по ТБ;12;Юго-Западный банк;Юго-Западный банк: 40.9 млрд.руб;44.223498;41.138609;;40.9;;12;;
Факт;все;12018;12018;Карта OPEX по ТБ;5;Подразделения ЦА;Центральный Аппарат: 16.6 млрд.руб;55.629177;37.633741;;16.6;;5;;
Факт;все;12018;12018;Карта OPEX по ТБ;1;Байкальский банк;Байкальский банк: 4.5 млрд.руб;55.629177;37.633741;;4.5;;1;;
Факт;все;12018;12018;Карта OPEX по ТБ;3;Волго-Вятский банк;Волго-Вятский банк: 10.7 млрд.руб;55.629177;37.633741;;10.7;;3;;
Факт;все;12018;12018;Карта OPEX по ТБ;2;Дальневосточный банк;Дальневосточный банк: 5 млрд.руб;55.629177;37.633741;;5;;2;;
Факт;все;12018;12018;Карта OPEX по ТБ;1;Западно-Сибирский банк;Западно-Сибирский банк: 4.8 млрд.руб;55.629177;37.633741;;4.8;;1;;
Факт;все;12018;12018;Карта OPEX по ТБ;0;Западно-Уральский банк;Западно-Уральский банк: 0;55.629177;37.633741;;0;;0;;
Факт;все;12018;12018;Карта OPEX по ТБ;4,44;Московский банк;Московский банк: 14.8 млрд.руб;55.629177;37.633741;;14.8;;4,44;;
Факт;все;12018;12018;Карта OPEX по ТБ;4;Поволжский банк;Поволжский банк: 8.6 млрд.руб;55.629177;37.633741;;8.6;;4;;
Факт;все;12018;12018;Карта OPEX по ТБ;0;Северный банк;Северный банк;55.629177;37.633741;;0;;0;;
Факт;все;12018;12018;Карта OPEX по ТБ;4;Северо-Западный банк;Северо-Западный банк: 12.1 млрд.руб;55.629177;37.633741;;12.1;;4;;
Факт;все;12018;12018;Карта OPEX по ТБ;3;Сибирский банк;Сибирский банк: 8.5 млрд.руб;55.629177;37.633741;;8.5;;3;;
Факт;все;12018;12018;Карта OPEX по ТБ;4;Среднерусский банк;Среднерусский банк: 12.7 млрд.руб;55.629177;37.633741;;12.7;;4;;
Факт;все;12018;12018;Карта OPEX по ТБ;2;Уральский банк;Уральский банк: 7.8 млрд.руб;55.629177;37.633741;;7.8;;2;;
Факт;все;12018;12018;Карта OPEX по ТБ;2;Центрально-Черноземный банк;Центрально-Черноземный банк: 5.4 млрд.руб;55.629177;37.633741;;5.4;;2;;
Факт;все;12018;12018;Карта OPEX по ТБ;3;Юго-Западный банк;Юго-Западный банк: 9.4 млрд.руб;55.629177;37.633741;;9.4;;3;;
Факт;КБ;42017;42017;Карта OPEX по ТБ;0;Подразделения ЦА;Центральный Аппарат;55.629177;37.633741;;0;;;;
Факт;КБ;42017;42017;Карта OPEX по ТБ;0;Байкальский банк;Байкальский банк;55.629177;37.633741;;0;;;;
Факт;КБ;42017;42017;Карта OPEX по ТБ;0;Волго-Вятский банк;Волго-Вятский банк;55.629177;37.633741;;0;;;;
Факт;КБ;42017;42017;Карта OPEX по ТБ;0;Дальневосточный банк;Дальневосточный банк;55.629177;37.633741;;0;;;;
Факт;КБ;42017;42017;Карта OPEX по ТБ;0;Западно-Сибирский банк;Западно-Сибирский банк;55.629177;37.633741;;0;;;;
Факт;КБ;42017;42017;Карта OPEX по ТБ;0;Западно-Уральский банк;Западно-Уральский банк;55.629177;37.633741;;0;;;;
Факт;КБ;42017;42017;Карта OPEX по ТБ;0;Московский банк;Московский банк;55.629177;37.633741;;0;;;;
Факт;КБ;42017;42017;Карта OPEX по ТБ;0;Поволжский банк;Поволжский банк;55.629177;37.633741;;0;;;;
Факт;КБ;42017;42017;Карта OPEX по ТБ;0;Северный банк;Северный банк;55.629177;37.633741;;0;;;;
Факт;КБ;42017;42017;Карта OPEX по ТБ;0;Северо-Западный банк;Северо-Западный банк;55.629177;37.633741;;0;;;;
Факт;КБ;42017;42017;Карта OPEX по ТБ;0;Сибирский банк;Сибирский банк;55.629177;37.633741;;0;;;;
Факт;КБ;42017;42017;Карта OPEX по ТБ;0;Среднерусский банк;Среднерусский банк;55.629177;37.633741;;0;;;;
Факт;КБ;42017;42017;Карта OPEX по ТБ;0;Уральский банк;Уральский банк;55.629177;37.633741;;0;;;;
Факт;КБ;42017;42017;Карта OPEX по ТБ;0;Центрально-Черноземный банк;Центрально-Черноземный банк;55.629177;37.633741;;0;;;;
Факт;КБ;42017;42017;Карта OPEX по ТБ;0;Юго-Западный банк;Юго-Западный банк;55.629177;37.633741;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Подразделения ЦА;Подразделения ЦА;55.629177;37.633741;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Байкальский банк;Байкальский банк;70.111249;138.336540;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Волго-Вятский банк;Волго-Вятский банк;55.670318;47.881094;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Дальневосточный банк;Дальневосточный банк;55.3425;138.8416;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Западно-Сибирский банк;Западно-Сибирский банк;63.555525;71.550048;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Западно-Уральский банк;Западно-Уральский банк;61.540537;52.971007;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Московский банк;Московский банк;55.829703;37.662334;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Поволжский банк;Поволжский банк;50.822803;44.838229;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Северный банк;Северный банк;67.690249;48.818185;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Северо-Западный банк;Северо-Западный банк;67.381542;33.467618;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Сибирский банк;Сибирский банк;64.869264;93.719162;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Среднерусский банк;Среднерусский банк;54.817428;33.854468;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Уральский банк;Уральский банк;56.607673;59.689390;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Центрально-Черноземный банк;Центрально-Черноземный банк;52.636269;39.100789;;0;;;;
Факт;КБ;12018;12018;Карта OPEX по ТБ;0;Юго-Западный банк;Юго-Западный банк;44.223498;41.138609;;0;;;;
Прогноз;Все;42017;42017;Карта OPEX по ТБ;0;Подразделения ЦА;Центральный Аппарат;55.629177;37.633741;;0;;0;;
Прогноз;КБ;42017;42017;Карта OPEX по ТБ;0;Подразделения ЦА;Центральный Аппарат;55.629177;37.633741;;0;;0;;
Прогноз;Все;12018;12018;Карта OPEX по ТБ;30;Подразделения ЦА;Центральный Аппарат: 121.2 млрд.руб;55.629177;37.633741;;121.2;;30;;
Прогноз;КБ;12018;12018;Карта OPEX по ТБ;0;Подразделения ЦА;Центральный Аппарат;55.629177;37.633741;;0;;0;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
